latitude,longitude,brightness,scan,track,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,datetime
36.9854,126.7148,301.3,1.0,1.0,Terra,MODIS,40,6.03,278.4,7.6,D,2,2020-01-24 02:22:00
35.9964,129.3935,304.8,1.3,1.1,Aqua,MODIS,60,6.03,287.2,10.3,D,2,2020-02-01 04:49:00
37.0491,126.5183,300.4,1.1,1.0,Aqua,MODIS,0,6.03,279.7,7.1,D,2,2020-02-03 04:37:00
36.0207,126.9367,312.4,1.1,1.0,Aqua,MODIS,46,6.03,283.5,12.9,D,0,2020-02-03 04:37:00
36.1727,126.9524,302.1,1.0,1.0,Aqua,MODIS,28,6.03,279.2,6.6,D,0,2020-02-03 04:37:00
36.0393,126.9365,304.4,1.1,1.0,Terra,MODIS,32,6.03,278.3,8.2,D,0,2020-02-07 02:35:00
36.1775,126.9527,301.7,1.1,1.0,Terra,MODIS,48,6.03,277.9,8.3,D,0,2020-02-07 02:35:00
36.1755,126.9646,301.6,1.1,1.0,Terra,MODIS,48,6.03,277.4,8.3,D,0,2020-02-07 02:35:00
35.9993,126.9081,300.1,1.1,1.0,Terra,MODIS,26,6.03,278.7,6.8,D,0,2020-02-07 02:35:00
35.1972,128.91,311.5,1.4,1.2,Aqua,MODIS,0,6.03,283.6,19.6,D,2,2020-02-08 04:55:00
36.9906,126.6971,301.8,1.0,1.0,Terra,MODIS,34,6.03,282.4,5.7,D,2,2020-02-09 02:22:00
36.9889,126.7035,307.1,1.1,1.0,Aqua,MODIS,52,6.03,276.2,14.4,N,2,2020-02-09 17:40:00
34.6818,126.426,300.8,1.0,1.0,Aqua,MODIS,0,6.03,289.7,4.1,D,0,2020-02-10 04:43:00
35.9235,128.901,303.3,1.1,1.0,Aqua,MODIS,48,6.03,288.4,5.7,D,0,2020-02-10 04:43:00
36.9776,126.7034,311.1,1.0,1.0,Aqua,MODIS,42,6.03,291.9,9.3,D,2,2020-02-10 04:43:00
36.9814,126.7097,307.7,1.3,1.1,Terra,MODIS,60,6.03,287.3,13.1,D,2,2020-02-11 02:10:00
36.9851,126.7181,301.2,1.2,1.1,Terra,MODIS,27,6.03,286.0,6.5,D,2,2020-02-14 02:41:00
36.9828,126.7314,307.6,1.2,1.1,Terra,MODIS,50,6.03,285.2,11.5,D,2,2020-02-14 02:41:00
35.366,128.7791,300.7,1.7,1.3,Terra,MODIS,0,6.03,289.1,8.2,D,0,2020-02-14 02:41:00
35.2315,128.8074,301.2,1.7,1.3,Terra,MODIS,24,6.03,287.2,7.7,D,0,2020-02-14 02:41:00
35.2187,128.8179,301.6,1.7,1.3,Terra,MODIS,46,6.03,286.2,9.5,D,2,2020-02-14 02:41:00
37.4827,129.0517,301.0,1.2,1.1,Aqua,MODIS,44,6.03,290.3,6.6,D,2,2020-02-14 04:19:00
