latitude,longitude,brightness,scan,track,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,date,time
28.5115,81.2492,300,1.5,1.2,Aqua,MODIS,24,6.03,288.2,6.7,D,0,13-Jan-2020,7:34:00 AM
28.5604,82.72,305.1,1.2,1.1,Aqua,MODIS,45,6.03,294.2,8.2,D,0,13-Jan-2020,7:34:00 AM
26.6773,86.9825,317.9,1.1,1.1,Aqua,MODIS,77,6.03,295.8,14,D,0,15-Jan-2020,7:21:00 AM
28.3409,84.435,304.1,1,1,Aqua,MODIS,58,6.03,282.9,8.3,D,0,20-Jan-2020,7:40:00 AM
28.6669,82.7348,307.1,1.5,1.2,Aqua,MODIS,53,6.03,284.5,16.1,D,0,22-Jan-2020,7:28:00 AM
28.3345,84.0948,312.3,1.2,1.1,Aqua,MODIS,72,6.03,291.9,16.6,D,0,22-Jan-2020,7:28:00 AM
28.6641,82.7191,309.3,1.5,1.2,Aqua,MODIS,66,6.03,285.1,19.1,D,0,22-Jan-2020,7:28:00 AM
28.2043,84.4248,302,1.2,1.1,Aqua,MODIS,50,6.03,291.8,6,D,0,22-Jan-2020,7:28:00 AM
27.8258,85.7567,301.9,1,1,Terra,MODIS,48,6.03,289,5.4,D,0,23-Jan-2020,4:59:00 AM
28.3678,84.8777,302.5,1.1,1.1,Terra,MODIS,37,6.03,286.1,7.2,D,0,23-Jan-2020,4:59:00 AM
28.6457,82.7669,311.6,1.9,1.3,Aqua,MODIS,71,6.03,296.5,25.5,D,0,23-Jan-2020,8:11:00 AM
29.7845,81.99,302.6,1.7,1.3,Aqua,MODIS,41,6.03,285.2,14.9,D,0,23-Jan-2020,8:11:00 AM
28.9834,82.614,304.5,1.8,1.3,Terra,MODIS,44,6.03,288.7,19.2,D,0,24-Jan-2020,5:42:00 AM
28.8196,82.5062,301,1.2,1.1,Aqua,MODIS,21,6.03,287.3,5.6,D,0,25-Jan-2020,7:59:00 AM
28.8182,82.4944,312.6,1.2,1.1,Aqua,MODIS,66,6.03,293.3,14.9,D,0,25-Jan-2020,7:59:00 AM
28.8186,80.1122,312.3,1,1,Aqua,MODIS,41,6.03,289.8,10.9,D,0,25-Jan-2020,7:59:00 AM
26.6261,87.3438,301.7,2.7,1.6,Terra,MODIS,48,6.03,289.3,13.9,D,0,26-Jan-2020,5:30:00 AM
28.4418,84.8103,302.3,1.1,1,Aqua,MODIS,26,6.03,288.7,9.2,D,0,27-Jan-2020,7:46:00 AM
27.022,85.6394,306.4,1.1,1.1,Aqua,MODIS,63,6.03,293.8,5.7,D,0,27-Jan-2020,7:46:00 AM
28.6457,82.7559,313.2,1,1,Terra,MODIS,53,6.03,295.7,11.7,D,0,28-Jan-2020,5:17:00 AM
27.0898,85.2028,302.6,1.2,1.1,Terra,MODIS,51,6.03,292,4.5,D,0,28-Jan-2020,5:18:00 AM
26.4845,87.6228,311.2,1,1,Aqua,MODIS,63,6.03,297.9,5.6,D,0,29-Jan-2020,7:33:00 AM
26.6434,87.6431,310.4,1,1,Aqua,MODIS,61,6.03,297.9,5.1,D,0,29-Jan-2020,7:33:00 AM
28.2215,84.8851,301.4,1,1,Aqua,MODIS,37,6.03,290.9,4.3,D,0,29-Jan-2020,7:34:00 AM
28.1363,84.2902,302.2,1,1,Terra,MODIS,43,6.03,291.5,4.5,D,0,30-Jan-2020,5:05:00 AM
28.1349,84.3004,308.3,1,1,Terra,MODIS,67,6.03,291.5,8.4,D,0,30-Jan-2020,5:05:00 AM
