latitude,longitude,brightness,scan,track,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,datetime
28.7889,82.8,306.2,1.9,1.3,Terra,MODIS,46,61.03,283.1,20.1,D,0,2023-01-02 04:34:00
28.2069,85.2263,301.4,1.3,1.1,Aqua,MODIS,36,61.03,276.3,9.4,D,0,2023-01-02 07:31:00
28.2309,85.1739,305.8,2.2,1.4,Aqua,MODIS,39,61.03,283.4,20.7,D,0,2023-01-03 08:13:00
26.6429,87.8047,307.8,1.5,1.2,Aqua,MODIS,64,61.03,293.9,10.3,D,0,2023-01-04 07:17:00
27.1734,86.3969,305.7,1.8,1.3,Aqua,MODIS,55,61.03,294.4,13.8,D,0,2023-01-04 07:17:00
30.001,80.7097,311.0,1.1,1.0,Terra,MODIS,49,61.03,292.7,11.7,D,0,2023-01-05 04:59:00
30.0023,80.7003,330.1,1.1,1.0,Terra,MODIS,87,61.03,292.6,33.4,D,0,2023-01-05 04:59:00
29.0684,82.794,305.7,1.0,1.0,Terra,MODIS,35,61.03,284.7,7.0,D,0,2023-01-05 04:59:00
28.3411,84.4456,301.8,1.1,1.0,Terra,MODIS,30,61.03,290.3,7.4,D,0,2023-01-05 04:59:00
28.0932,85.1792,300.2,1.2,1.1,Terra,MODIS,26,61.03,286.8,7.6,D,0,2023-01-05 04:59:00
27.1272,87.0901,309.7,1.7,1.3,Aqua,MODIS,54,61.03,295.0,14.4,D,0,2023-01-05 07:59:00
27.1354,87.0832,307.5,1.7,1.3,Aqua,MODIS,64,61.03,295.4,12.1,D,0,2023-01-05 07:59:00
27.533,84.2317,302.3,1.2,1.1,Aqua,MODIS,51,61.03,291.8,5.6,D,0,2023-01-05 08:00:00
27.1879,86.3986,313.0,1.5,1.2,Aqua,MODIS,62,61.03,295.3,16.6,D,0,2023-01-05 08:00:00
28.7478,82.4599,305.1,1.0,1.0,Aqua,MODIS,59,61.03,284.5,8.7,D,0,2023-01-05 08:00:00
28.7797,82.0918,306.1,1.0,1.0,Aqua,MODIS,39,61.03,294.7,6.0,D,0,2023-01-05 08:00:00
28.8942,82.8712,301.0,1.1,1.0,Aqua,MODIS,25,61.03,288.7,6.4,D,0,2023-01-05 08:00:00
29.3042,81.5528,305.8,1.0,1.0,Aqua,MODIS,62,61.03,289.4,8.2,D,0,2023-01-05 08:00:00
29.5626,81.5593,311.3,1.0,1.0,Aqua,MODIS,64,61.03,289.5,12.0,D,0,2023-01-05 08:00:00
29.6558,81.3689,306.9,1.0,1.0,Aqua,MODIS,62,61.03,290.3,9.5,D,0,2023-01-05 08:00:00
27.1196,87.0893,305.7,2.7,1.6,Aqua,MODIS,62,61.03,293.0,27.3,D,0,2023-01-06 07:04:00
27.4749,87.3203,312.9,2.6,1.5,Aqua,MODIS,73,61.03,286.9,51.7,D,0,2023-01-06 07:04:00
27.4674,87.3135,314.1,2.6,1.5,Aqua,MODIS,74,61.03,288.5,54.4,D,0,2023-01-06 07:04:00
28.0741,84.9786,305.1,3.6,1.8,Aqua,MODIS,60,61.03,288.6,51.8,D,0,2023-01-06 07:04:00
28.0677,84.9748,301.2,3.6,1.8,Aqua,MODIS,37,61.03,287.4,33.2,D,0,2023-01-06 07:04:00
28.4402,84.4006,314.5,1.1,1.0,Terra,MODIS,44,61.03,291.6,13.3,D,0,2023-01-07 04:43:00
28.2583,84.5875,303.0,1.1,1.0,Terra,MODIS,51,61.03,288.7,8.1,D,0,2023-01-07 04:43:00
26.5183,87.1943,303.5,1.0,1.0,Terra,MODIS,55,61.03,293.1,4.2,D,0,2023-01-07 04:44:00
26.4801,87.1515,310.2,1.1,1.0,Aqua,MODIS,65,61.03,293.4,9.1,D,0,2023-01-07 07:46:00
27.5482,87.3801,320.3,1.1,1.1,Aqua,MODIS,74,61.03,293.1,22.6,D,0,2023-01-07 07:46:00
27.5834,87.2437,304.2,1.1,1.1,Aqua,MODIS,46,61.03,292.4,6.4,D,0,2023-01-07 07:46:00
27.6379,86.5823,318.2,1.1,1.0,Aqua,MODIS,76,61.03,295.1,17.0,D,0,2023-01-07 07:47:00
27.545,84.2149,302.5,1.0,1.0,Aqua,MODIS,52,61.03,290.8,4.5,D,0,2023-01-07 07:47:00
28.2545,84.5841,305.8,1.0,1.0,Aqua,MODIS,62,61.03,288.5,8.5,D,0,2023-01-07 07:47:00
28.2531,84.5741,303.1,1.0,1.0,Aqua,MODIS,55,61.03,285.4,7.0,D,0,2023-01-07 07:47:00
28.3375,84.9082,316.0,1.0,1.0,Aqua,MODIS,63,61.03,293.5,13.4,D,0,2023-01-07 07:47:00
28.4237,84.4163,328.9,1.0,1.0,Aqua,MODIS,86,61.03,294.1,26.6,D,0,2023-01-07 07:47:00
28.44,84.4029,327.2,1.0,1.0,Aqua,MODIS,59,61.03,294.3,22.4,D,0,2023-01-07 07:47:00
28.4385,84.3928,333.6,1.0,1.0,Aqua,MODIS,69,61.03,302.9,31.3,D,0,2023-01-07 07:47:00
28.4474,84.3913,323.5,1.0,1.0,Aqua,MODIS,82,61.03,296.5,21.5,D,0,2023-01-07 07:47:00
28.4379,83.8915,331.8,1.0,1.0,Aqua,MODIS,88,61.03,286.2,32.1,D,0,2023-01-07 07:47:00
29.5415,82.3043,308.8,1.1,1.0,Aqua,MODIS,64,61.03,280.6,12.7,D,0,2023-01-07 07:47:00
29.7938,82.0923,326.2,1.1,1.0,Aqua,MODIS,84,61.03,296.6,27.8,D,0,2023-01-07 07:47:00
29.7918,82.0799,322.1,1.1,1.0,Aqua,MODIS,81,61.03,291.6,22.5,D,0,2023-01-07 07:47:00
29.6196,82.0997,309.5,1.7,1.3,Terra,MODIS,69,61.03,285.6,23.9,D,0,2023-01-08 05:24:00
28.94,82.3854,302.0,2.8,1.6,Aqua,MODIS,32,61.03,290.3,21.4,D,0,2023-01-08 08:29:00
28.3383,84.1004,303.9,1.9,1.4,Terra,MODIS,44,61.03,290.7,16.9,D,0,2023-01-09 04:27:00
28.2871,84.6028,304.9,1.8,1.3,Terra,MODIS,37,61.03,291.0,15.4,D,0,2023-01-09 04:27:00
28.2854,84.6195,308.2,1.8,1.3,Terra,MODIS,39,61.03,293.0,19.8,D,0,2023-01-09 04:27:00
27.5933,87.0614,315.4,1.2,1.1,Terra,MODIS,62,61.03,288.8,18.0,D,0,2023-01-09 04:28:00
27.5919,87.0726,308.4,1.2,1.1,Terra,MODIS,29,61.03,287.9,10.9,D,0,2023-01-09 04:28:00
27.5897,87.0663,321.4,1.2,1.1,Terra,MODIS,81,61.03,289.2,25.9,D,0,2023-01-09 04:28:00
26.4414,87.2333,305.2,1.0,1.0,Aqua,MODIS,53,61.03,293.9,4.3,D,0,2023-01-09 07:33:00
27.1062,85.0345,303.2,1.2,1.1,Aqua,MODIS,55,61.03,292.4,5.7,D,0,2023-01-09 07:33:00
28.3891,84.3993,315.4,1.3,1.1,Aqua,MODIS,76,61.03,291.7,20.1,D,0,2023-01-09 07:34:00
27.7893,83.8034,306.1,1.4,1.2,Aqua,MODIS,63,61.03,292.5,11.5,D,0,2023-01-09 07:34:00
28.2912,84.6103,309.2,1.2,1.1,Aqua,MODIS,54,61.03,293.3,12.5,D,0,2023-01-09 07:34:00
28.2888,84.5967,307.0,1.2,1.1,Aqua,MODIS,48,61.03,292.1,11.2,D,0,2023-01-09 07:34:00
28.3669,84.8197,319.3,1.2,1.1,Aqua,MODIS,58,61.03,292.4,22.7,D,0,2023-01-09 07:34:00
28.359,84.5929,308.4,1.2,1.1,Aqua,MODIS,50,61.03,288.4,10.9,D,0,2023-01-09 07:34:00
28.3603,84.5876,309.6,1.2,1.1,Aqua,MODIS,53,61.03,289.5,11.9,D,0,2023-01-09 07:34:00
28.3873,84.3888,306.1,1.3,1.1,Aqua,MODIS,47,61.03,289.0,10.8,D,0,2023-01-09 07:34:00
28.4364,83.7861,320.9,1.4,1.2,Aqua,MODIS,80,61.03,290.2,30.7,D,0,2023-01-09 07:34:00
28.7809,82.8072,306.7,1.2,1.1,Terra,MODIS,64,61.03,282.1,11.2,D,0,2023-01-10 05:08:00
29.0444,82.2739,300.9,1.1,1.0,Terra,MODIS,21,61.03,288.0,5.0,D,0,2023-01-10 05:08:00
28.7904,82.75,307.2,1.2,1.1,Terra,MODIS,65,61.03,278.4,12.9,D,0,2023-01-10 05:08:00
28.7886,82.7611,325.3,1.2,1.1,Terra,MODIS,84,61.03,280.1,32.3,D,0,2023-01-10 05:08:00
28.2564,85.096,307.1,2.5,1.5,Aqua,MODIS,38,61.03,284.5,24.1,D,0,2023-01-10 08:16:00
28.2868,84.6167,306.4,2.3,1.5,Aqua,MODIS,39,61.03,291.3,22.4,D,0,2023-01-10 08:16:00
28.3282,84.3551,302.3,2.2,1.4,Aqua,MODIS,34,61.03,287.0,14.9,D,0,2023-01-10 08:16:00
29.5429,82.3065,309.0,1.6,1.3,Aqua,MODIS,60,61.03,283.1,21.5,D,0,2023-01-10 08:16:00
27.0552,87.1759,308.5,3.3,1.7,Aqua,MODIS,59,61.03,296.5,36.9,D,0,2023-01-10 08:16:00
27.0654,87.1678,306.6,3.3,1.7,Aqua,MODIS,50,61.03,296.1,28.2,D,0,2023-01-10 08:16:00
27.9752,84.7382,304.1,2.3,1.5,Aqua,MODIS,58,61.03,292.3,15.0,D,0,2023-01-10 08:16:00
30.0715,81.3685,343.5,1.5,1.2,Aqua,MODIS,71,61.03,292.2,82.7,D,0,2023-01-10 08:17:00
29.6127,80.8853,315.4,1.3,1.1,Aqua,MODIS,62,61.03,296.4,15.3,D,0,2023-01-10 08:17:00
30.0623,81.3839,323.0,1.5,1.2,Aqua,MODIS,60,61.03,284.8,39.5,D,0,2023-01-10 08:17:00
30.0606,81.3675,307.8,1.5,1.2,Aqua,MODIS,23,61.03,279.7,16.7,D,0,2023-01-10 08:17:00
30.0731,81.3835,369.8,1.5,1.2,Aqua,MODIS,75,61.03,286.6,199.0,D,0,2023-01-10 08:17:00
28.7806,82.8099,301.4,1.3,1.1,Terra,MODIS,40,61.03,270.4,15.8,N,0,2023-01-10 16:06:00
28.4528,84.7875,321.2,3.3,1.7,Terra,MODIS,72,61.03,296.4,109.8,D,0,2023-01-11 04:11:00
28.4406,84.7746,316.8,3.3,1.7,Terra,MODIS,54,61.03,288.9,82.4,D,0,2023-01-11 04:11:00
28.4632,83.8037,304.7,3.9,1.8,Terra,MODIS,41,61.03,289.9,38.7,D,0,2023-01-11 04:11:00
28.4474,83.9135,301.4,3.8,1.8,Terra,MODIS,21,61.03,288.6,29.1,D,0,2023-01-11 04:11:00
28.2879,84.6197,306.4,3.4,1.7,Terra,MODIS,51,61.03,293.1,40.6,D,0,2023-01-11 04:11:00
26.9657,87.5515,311.5,1.4,1.2,Aqua,MODIS,56,61.03,297.2,12.3,D,0,2023-01-11 07:20:00
26.9621,87.5452,309.5,1.4,1.2,Aqua,MODIS,23,61.03,296.9,10.6,D,0,2023-01-11 07:20:00
26.9854,87.4961,334.3,1.4,1.2,Aqua,MODIS,89,61.03,299.5,51.2,D,0,2023-01-11 07:20:00
