latitude,longitude,brightness,scan,track,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,datetime
36.9832,126.7028,307.5,1.0,1.0,Aqua,MODIS,55,61.03,271.3,13.7,N,2,2023-01-04 17:42:00
36.9865,126.6942,300.0,1.5,1.2,Terra,MODIS,0,61.03,280.1,12.1,D,2,2023-01-10 01:49:00
36.9841,126.6987,305.4,1.1,1.0,Aqua,MODIS,53,61.03,285.4,9.9,D,2,2023-01-10 05:01:00
35.8831,128.1123,310.3,1.0,1.0,Aqua,MODIS,49,61.03,288.1,10.2,D,0,2023-01-12 04:47:00
35.8847,128.1232,396.0,1.0,1.0,Aqua,MODIS,100,61.03,298.6,232.1,D,0,2023-01-12 04:47:00
35.8863,128.1341,324.9,1.0,1.0,Aqua,MODIS,83,61.03,287.5,24.0,D,0,2023-01-12 04:47:00
35.094,128.8591,302.6,1.0,1.0,Aqua,MODIS,40,61.03,292.1,4.4,D,2,2023-01-12 04:47:00
36.9858,126.702,311.3,1.0,1.0,Aqua,MODIS,61,61.03,289.7,11.2,D,2,2023-01-12 04:48:00
36.9841,126.6908,310.5,1.0,1.0,Aqua,MODIS,61,61.03,288.0,10.8,D,2,2023-01-12 04:48:00
36.9863,126.7059,303.5,1.2,1.1,Terra,MODIS,49,61.03,280.1,12.2,D,2,2023-01-18 02:23:00
35.9223,128.8959,306.1,1.0,1.0,Aqua,MODIS,55,61.03,281.0,9.6,D,0,2023-01-19 04:50:00
36.9855,126.7019,301.9,1.0,1.0,Terra,MODIS,50,61.03,278.2,8.2,D,2,2023-01-20 02:07:00
36.984,126.7129,301.2,1.0,1.0,Terra,MODIS,42,61.03,278.7,7.9,D,2,2023-01-20 02:07:00
36.9828,126.6977,301.6,1.3,1.1,Aqua,MODIS,36,61.03,286.3,9.9,D,2,2023-01-31 05:09:00
36.984,126.7071,301.7,1.0,1.0,Terra,MODIS,37,61.03,282.9,7.2,D,2,2023-02-01 02:10:00
35.3081,128.3043,303.0,1.0,1.0,Aqua,MODIS,55,61.03,286.1,6.2,D,0,2023-02-04 04:42:00
34.5298,126.7077,316.3,1.2,1.1,Aqua,MODIS,65,61.03,282.4,21.6,D,0,2023-02-04 04:42:00
34.7479,126.5264,303.8,1.2,1.1,Aqua,MODIS,53,61.03,282.0,10.3,D,0,2023-02-04 04:42:00
35.4606,127.799,302.8,1.1,1.0,Aqua,MODIS,54,61.03,282.3,7.9,D,0,2023-02-04 04:42:00
35.7208,127.6406,300.7,1.1,1.0,Aqua,MODIS,41,61.03,279.6,8.2,D,0,2023-02-04 04:42:00
36.9789,126.7108,301.1,1.1,1.0,Aqua,MODIS,38,61.03,284.9,6.6,D,2,2023-02-04 04:43:00
37.8043,126.7672,305.0,1.1,1.0,Aqua,MODIS,60,61.03,279.4,9.7,D,2,2023-02-04 04:43:00
35.3806,127.0979,306.1,2.3,1.5,Aqua,MODIS,63,61.03,285.3,29.4,D,0,2023-02-05 05:24:00
36.9875,126.7098,300.7,1.3,1.1,Aqua,MODIS,32,61.03,275.3,14.4,N,2,2023-02-05 17:26:00
37.0497,126.826,301.7,1.1,1.1,Terra,MODIS,48,61.03,278.0,8.7,D,0,2023-02-06 02:19:00
36.9828,126.7046,300.9,1.1,1.1,Terra,MODIS,34,61.03,280.7,7.0,D,2,2023-02-06 02:19:00
36.9264,126.7747,317.7,1.1,1.1,Terra,MODIS,78,61.03,274.9,22.8,D,0,2023-02-06 02:19:00
36.001,129.3975,300.3,1.1,1.0,Terra,MODIS,29,61.03,287.4,4.4,D,2,2023-02-08 02:03:00
35.0942,128.8601,300.8,1.0,1.0,Terra,MODIS,22,61.03,287.8,4.4,D,2,2023-02-08 02:03:00
35.0998,127.7921,317.7,1.0,1.0,Terra,MODIS,78,61.03,283.9,18.0,D,0,2023-02-08 02:03:00
36.9847,126.7104,300.4,1.2,1.1,Aqua,MODIS,26,61.03,274.6,12.1,N,2,2023-02-19 17:31:00
35.0963,128.864,300.6,1.1,1.0,Terra,MODIS,20,61.03,285.5,5.6,D,2,2023-02-20 02:05:00
35.162,127.954,300.8,1.3,1.1,Aqua,MODIS,39,61.03,281.6,8.9,D,2,2023-02-20 04:33:00
38.0338,127.2325,307.7,1.3,1.1,Aqua,MODIS,66,61.03,279.4,16.2,D,0,2023-02-20 04:34:00
36.9894,126.6968,302.5,1.4,1.2,Terra,MODIS,0,61.03,282.6,10.2,D,2,2023-02-22 01:49:00
36.2844,126.8827,301.8,1.1,1.0,Terra,MODIS,33,61.03,282.1,6.7,D,0,2023-02-25 02:14:00
35.8043,127.6295,306.3,1.2,1.1,Terra,MODIS,59,61.03,278.4,12.5,D,0,2023-02-25 02:14:00
35.7985,127.6344,308.5,1.2,1.1,Terra,MODIS,67,61.03,276.8,15.5,D,0,2023-02-25 02:14:00
34.5617,126.46,310.6,1.1,1.0,Aqua,MODIS,62,61.03,283.5,12.3,D,0,2023-02-25 04:48:00
34.6843,126.934,301.4,1.0,1.0,Aqua,MODIS,44,61.03,287.4,5.6,D,0,2023-02-25 04:48:00
34.7416,126.3092,327.9,1.1,1.0,Aqua,MODIS,0,61.03,282.3,32.2,D,0,2023-02-25 04:48:00
34.9207,126.6746,300.5,1.0,1.0,Aqua,MODIS,38,61.03,284.3,4.5,D,0,2023-02-25 04:48:00
34.971,126.756,300.3,1.0,1.0,Aqua,MODIS,34,61.03,285.5,4.3,D,0,2023-02-25 04:48:00
35.0891,126.2245,311.1,1.1,1.0,Aqua,MODIS,0,61.03,282.6,13.6,D,0,2023-02-25 04:48:00
34.9385,126.3213,309.6,1.1,1.0,Aqua,MODIS,0,61.03,283.1,10.9,D,0,2023-02-25 04:48:00
34.3621,126.5384,311.7,1.1,1.0,Aqua,MODIS,44,61.03,284.4,14.2,D,0,2023-02-25 04:48:00
34.555,126.4682,306.5,1.1,1.0,Aqua,MODIS,18,61.03,282.8,7.9,D,0,2023-02-25 04:48:00
36.1655,126.5834,300.4,1.0,1.0,Aqua,MODIS,36,61.03,282.5,5.6,D,0,2023-02-25 04:49:00
35.3505,127.2969,302.3,1.0,1.0,Aqua,MODIS,40,61.03,286.7,5.8,D,0,2023-02-25 04:49:00
35.5976,126.8544,300.6,1.0,1.0,Aqua,MODIS,39,61.03,283.9,4.4,D,2,2023-02-25 04:49:00
35.9242,128.8975,304.9,1.0,1.0,Aqua,MODIS,60,61.03,288.7,5.5,D,0,2023-02-25 04:49:00
36.9815,126.7111,306.0,1.0,1.0,Terra,MODIS,66,61.03,274.6,12.2,N,2,2023-02-25 13:16:00
37.4853,129.0553,304.0,1.0,1.0,Terra,MODIS,58,61.03,288.2,6.7,D,2,2023-02-27 01:57:00
36.9795,126.7071,306.1,1.1,1.0,Terra,MODIS,50,61.03,288.1,7.4,D,2,2023-02-27 01:58:00
35.8489,128.3568,301.1,1.0,1.0,Terra,MODIS,33,61.03,286.8,5.0,D,0,2023-02-27 01:58:00
35.099,128.8694,304.4,1.0,1.0,Terra,MODIS,47,61.03,290.9,4.0,D,2,2023-02-27 01:58:00
