latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
37.48516,129.05504,331.25,0.4,0.37,2020-01-01,0428,N20,VIIRS,n,2,287.11,3.91,D,0
36.03011,129.39407,297.87,0.39,0.44,2020-01-01,1648,N20,VIIRS,n,2,274.18,0.76,N,3
37.59709,129.01468,314.99,0.42,0.45,2020-01-01,1648,N20,VIIRS,n,2,276.39,2.46,N,0
36.02611,129.3934,302.84,0.39,0.44,2020-01-01,1648,N20,VIIRS,n,2,278.06,0.76,N,3
36.01854,129.38783,297.82,0.39,0.44,2020-01-01,1648,N20,VIIRS,n,2,274.74,1.16,N,3
36.00787,129.37294,298.71,0.39,0.44,2020-01-01,1648,N20,VIIRS,n,2,270.15,0.74,N,2
37.42429,129.17137,302.1,0.41,0.45,2020-01-01,1648,N20,VIIRS,n,2,274.18,0.71,N,0
36.00121,129.39807,297.12,0.39,0.44,2020-01-01,1648,N20,VIIRS,n,2,275.43,1.58,N,0
36.00488,129.38699,299.79,0.39,0.44,2020-01-01,1648,N20,VIIRS,n,2,273.78,1.74,N,3
35.99995,129.3949,325.19,0.39,0.44,2020-01-01,1648,N20,VIIRS,n,2,274.14,3.79,N,0
37.4858,129.05743,319.78,0.42,0.45,2020-01-01,1648,N20,VIIRS,n,2,277.44,3.65,N,2
36.00166,129.39381,329.24,0.39,0.44,2020-01-01,1648,N20,VIIRS,n,2,276.84,1.58,N,2
35.15804,128.8576,306.19,0.4,0.44,2020-01-01,1649,N20,VIIRS,n,2,269.78,1.06,N,2
35.05746,126.8698,311.88,0.51,0.5,2020-01-01,1649,N20,VIIRS,n,2,268.26,1.86,N,0
36.00035,129.39926,327.12,0.44,0.38,2020-01-02,0409,N20,VIIRS,n,2,286.37,3.79,D,0
37.48681,129.05472,327.72,0.38,0.59,2020-01-02,1629,N20,VIIRS,n,2,279.81,2.4,N,2
37.59999,129.01047,298.4,0.38,0.59,2020-01-02,1629,N20,VIIRS,n,2,273.74,2.06,N,2
35.09223,128.83234,298.22,0.37,0.58,2020-01-02,1630,N20,VIIRS,n,2,271.77,0.33,N,0
35.1032,128.83005,297.22,0.37,0.58,2020-01-02,1630,N20,VIIRS,n,2,272.4,0.38,N,2
35.08175,128.9915,302.54,0.36,0.58,2020-01-02,1630,N20,VIIRS,n,2,275.08,1.21,N,0
35.08731,128.98833,304.81,0.36,0.58,2020-01-02,1630,N20,VIIRS,n,2,274,0.66,N,2
36.00737,129.37306,300.15,0.54,0.68,2020-01-02,1810,N20,VIIRS,n,2,274.06,1.41,N,2
36.98351,126.71037,327.31,0.37,0.58,2020-01-02,1810,N20,VIIRS,n,2,277.25,2.28,N,0
36.98661,126.69858,312.8,0.37,0.58,2020-01-02,1810,N20,VIIRS,n,2,275.51,2.14,N,2
36.98361,126.68855,295.28,0.37,0.58,2020-01-02,1810,N20,VIIRS,n,2,277.43,1.14,N,0
36.01799,129.38034,323.63,0.54,0.68,2020-01-02,1810,N20,VIIRS,n,2,275.97,2.97,N,3
36.00618,129.37511,295.33,0.54,0.68,2020-01-02,1810,N20,VIIRS,n,2,274.27,1.87,N,2
35.37173,127.2867,328.67,0.32,0.55,2020-01-03,0350,N20,VIIRS,n,2,276.01,1.36,D,0
37.47903,129.1472,335.28,0.46,0.47,2020-01-03,0350,N20,VIIRS,n,2,284.12,1.76,D,0
35.37181,127.28612,332,0.32,0.55,2020-01-03,0350,N20,VIIRS,n,2,273.97,1.68,D,0
37.48648,129.05266,303.97,0.7,0.75,2020-01-03,1610,N20,VIIRS,n,2,275.64,1.6,N,2
37.59693,129.00905,303.67,0.7,0.75,2020-01-03,1610,N20,VIIRS,n,2,274.94,1.84,N,0
37.59764,129.00932,304.06,0.7,0.75,2020-01-03,1610,N20,VIIRS,n,2,275.84,1.66,N,2
37.48579,129.05379,298.48,0.7,0.75,2020-01-03,1610,N20,VIIRS,n,2,275.29,1.15,N,2
35.08579,128.98537,300.22,0.68,0.74,2020-01-03,1611,N20,VIIRS,n,2,274.08,1.41,N,2
35.08516,128.98503,299.01,0.68,0.74,2020-01-03,1611,N20,VIIRS,n,2,274.52,0.86,N,2
36.01759,129.38483,301.36,0.6,0.53,2020-01-03,1751,N20,VIIRS,n,2,277.59,3.5,N,3
36.86387,126.57808,295.41,0.41,0.45,2020-01-03,1751,N20,VIIRS,n,2,271.06,0.73,N,0
36.95396,126.61878,330.84,0.41,0.45,2020-01-03,1751,N20,VIIRS,n,2,270.23,2.66,N,2
36.98489,126.69038,299.74,0.41,0.45,2020-01-03,1751,N20,VIIRS,n,2,277.91,2.23,N,0
36.98087,126.68903,295.24,0.41,0.45,2020-01-03,1751,N20,VIIRS,n,2,277.03,1.02,N,0
36.95357,126.61694,322.17,0.41,0.45,2020-01-03,1751,N20,VIIRS,n,2,270.1,2.25,N,2
37.48651,126.63997,314.57,0.4,0.44,2020-01-03,1751,N20,VIIRS,n,2,274.25,1.79,N,0
37.42379,129.16914,295.82,0.54,0.51,2020-01-03,1751,N20,VIIRS,n,2,274.26,0.69,N,0
37.42677,129.17723,301.99,0.55,0.51,2020-01-03,1751,N20,VIIRS,n,2,277.28,1.54,N,0
37.48153,129.04987,300.79,0.54,0.5,2020-01-03,1751,N20,VIIRS,n,2,274.3,1.2,N,0
36.98693,126.70083,301.23,0.42,0.45,2020-01-03,1751,N20,VIIRS,n,2,276.23,1.66,N,2
36.98497,126.70982,310.13,0.42,0.45,2020-01-03,1751,N20,VIIRS,n,2,278.09,2.02,N,0
37.01443,128.34293,296.09,0.5,0.49,2020-01-03,1751,N20,VIIRS,n,2,268.72,0.87,N,0
37.01236,128.34021,296.46,0.5,0.49,2020-01-03,1751,N20,VIIRS,n,2,269.55,1.65,N,0
36.99194,126.69766,331.71,0.42,0.45,2020-01-03,1751,N20,VIIRS,n,2,274.77,2.24,N,0
36.01916,129.37846,328.01,0.6,0.53,2020-01-03,1751,N20,VIIRS,n,2,276.78,3.45,N,3
35.09639,128.86424,295.74,0.6,0.53,2020-01-03,1751,N20,VIIRS,n,2,272.48,0.75,N,0
35.08187,128.98959,304.9,0.61,0.53,2020-01-03,1751,N20,VIIRS,n,2,275.86,1.29,N,0
35.08536,128.99031,298.07,0.61,0.53,2020-01-03,1751,N20,VIIRS,n,2,274.85,1.67,N,2
36.98201,126.71436,329.82,0.32,0.55,2020-01-04,0512,N20,VIIRS,n,2,285.9,4.22,D,0
37.59656,129.0108,299.1,0.47,0.4,2020-01-04,1732,N20,VIIRS,n,2,274.84,1.58,N,0
36.9831,126.69563,300.99,0.41,0.37,2020-01-04,1732,N20,VIIRS,n,2,275.93,1.12,N,0
36.8621,126.5801,315.76,0.4,0.37,2020-01-04,1732,N20,VIIRS,n,2,271.92,1.07,N,0
36.02452,129.39301,301.65,0.52,0.41,2020-01-04,1732,N20,VIIRS,n,2,280.22,1.85,N,3
36.01565,129.37843,307.2,0.52,0.41,2020-01-04,1732,N20,VIIRS,n,2,277.29,1.25,N,3
36.00109,129.39177,301.99,0.52,0.41,2020-01-04,1732,N20,VIIRS,n,2,276.84,2.05,N,2
35.97156,126.60893,313.58,0.41,0.37,2020-01-04,1732,N20,VIIRS,n,2,275.87,1.61,N,2
36.00143,129.39003,297.87,0.52,0.41,2020-01-04,1732,N20,VIIRS,n,2,277.01,2.29,N,2
37.97853,127.74364,311.03,0.42,0.38,2020-01-04,1732,N20,VIIRS,n,2,269,1.26,N,0
37.97422,127.74761,327.1,0.42,0.38,2020-01-04,1732,N20,VIIRS,n,2,270.94,3.4,N,0
37.9751,127.74283,315.71,0.42,0.38,2020-01-04,1732,N20,VIIRS,n,2,270.44,1.26,N,0
37.97335,127.75235,319.33,0.42,0.38,2020-01-04,1732,N20,VIIRS,n,2,269.49,3.4,N,0
36.98389,126.69115,306.83,0.41,0.37,2020-01-04,1732,N20,VIIRS,n,2,278.41,0.97,N,0
37.4857,129.05357,318.32,0.48,0.4,2020-01-04,1732,N20,VIIRS,n,2,275.52,1.73,N,2
37.48317,129.04707,305.94,0.47,0.4,2020-01-04,1732,N20,VIIRS,n,2,274.37,1.45,N,0
37.42665,129.18124,304.9,0.48,0.4,2020-01-04,1732,N20,VIIRS,n,2,277.06,1.23,N,0
37.42413,129.17467,297.16,0.48,0.4,2020-01-04,1732,N20,VIIRS,n,2,275.13,1.23,N,0
37.48389,126.64046,297.25,0.4,0.37,2020-01-04,1732,N20,VIIRS,n,2,271.69,0.55,N,0
37.08552,128.28087,302.25,0.45,0.39,2020-01-04,1732,N20,VIIRS,n,2,268.79,0.74,N,0
37.02615,128.32155,314.68,0.45,0.39,2020-01-04,1732,N20,VIIRS,n,2,272.52,1.86,N,2
37.01278,128.33347,296.33,0.45,0.39,2020-01-04,1732,N20,VIIRS,n,2,269.57,0.85,N,0
36.98761,126.72977,325.6,0.41,0.37,2020-01-04,1732,N20,VIIRS,n,2,274.15,4.04,N,3
36.98408,126.70997,330.06,0.41,0.37,2020-01-04,1732,N20,VIIRS,n,2,281.68,3.56,N,0
36.98723,126.69205,296.59,0.41,0.37,2020-01-04,1732,N20,VIIRS,n,2,274.76,0.97,N,2
36.98566,126.70102,308,0.41,0.37,2020-01-04,1732,N20,VIIRS,n,2,276.57,1.12,N,2
36.98468,126.68665,299,0.41,0.37,2020-01-04,1732,N20,VIIRS,n,2,272.8,0.97,N,0
35.28957,126.77834,305.25,0.42,0.38,2020-01-04,1733,N20,VIIRS,n,2,271.3,0.99,N,2
35.08256,128.99127,327.96,0.45,0.47,2020-01-05,0452,N20,VIIRS,n,2,287.96,2.4,D,0
36.00795,129.38647,306.16,0.38,0.36,2020-01-05,1714,N20,VIIRS,n,2,278.45,2.08,N,3
36.0093,129.37805,296.14,0.38,0.36,2020-01-05,1714,N20,VIIRS,n,2,273.84,1.14,N,2
36.01777,129.38887,304.5,0.38,0.36,2020-01-05,1714,N20,VIIRS,n,2,276.39,1.93,N,3
36.02364,129.39467,296,0.38,0.36,2020-01-05,1714,N20,VIIRS,n,2,277.33,0.89,N,3
36.02499,129.38623,343.32,0.38,0.36,2020-01-05,1714,N20,VIIRS,n,2,278.53,6.74,N,3
36.02692,129.39546,316.64,0.38,0.36,2020-01-05,1714,N20,VIIRS,n,2,276.78,0.89,N,3
36.00322,129.416,295.25,0.38,0.36,2020-01-05,1714,N20,VIIRS,n,2,273.34,0.58,N,0
36.0066,129.39491,299.91,0.38,0.36,2020-01-05,1714,N20,VIIRS,n,2,279.18,1.46,N,2
35.99937,129.39754,301.86,0.38,0.36,2020-01-05,1714,N20,VIIRS,n,2,275.56,1.45,N,0
36.00005,129.39333,310.21,0.38,0.36,2020-01-05,1714,N20,VIIRS,n,2,275.61,1.07,N,2
35.97694,129.36816,302.02,0.57,0.52,2020-01-07,1636,N20,VIIRS,n,2,283.46,1.19,N,2
35.44814,129.33896,298.91,0.57,0.52,2020-01-07,1636,N20,VIIRS,n,2,288.18,1.8,N,0
35.08409,128.99115,309.3,0.59,0.53,2020-01-07,1636,N20,VIIRS,n,2,283,3.14,N,2
35.08568,128.99059,300.96,0.59,0.53,2020-01-07,1636,N20,VIIRS,n,2,282.86,1.93,N,2
35.08083,128.99001,297.87,0.59,0.53,2020-01-07,1636,N20,VIIRS,n,2,282.22,2.05,N,0
36.00909,129.38486,311.09,0.57,0.52,2020-01-07,1636,N20,VIIRS,n,2,286.5,1.81,N,2
36.00957,129.37843,296.32,0.57,0.52,2020-01-07,1636,N20,VIIRS,n,2,284.22,1.81,N,2
