latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
36.00826,129.37752,298.13,0.41,0.45,2020-01-01,1738,N,VIIRS,n,2,272.08,1.6,N,2
37.42747,129.17932,303.89,0.56,0.43,2020-01-01,1738,N,VIIRS,n,2,276.09,1.73,N,2
37.48615,129.0533,302.49,0.55,0.43,2020-01-01,1738,N,VIIRS,n,2,273.11,1.13,N,2
35.9964,129.39258,297.42,0.41,0.45,2020-01-01,1738,N,VIIRS,n,2,273.41,1.53,N,0
36.00042,129.39394,323.35,0.41,0.45,2020-01-01,1738,N,VIIRS,n,2,276.4,1.53,N,2
35.15697,128.8576,306.36,0.4,0.44,2020-01-01,1739,N,VIIRS,n,2,267.98,0.53,N,0
37.48624,126.63934,295.1,0.39,0.36,2020-01-02,1719,N,VIIRS,n,2,272.7,0.89,N,0
37.42538,129.1797,311.6,0.39,0.36,2020-01-02,1719,N,VIIRS,n,2,276.94,1.28,N,2
37.20481,128.30132,307.29,0.38,0.36,2020-01-02,1719,N,VIIRS,n,2,273.15,1.19,N,2
37.48178,129.04834,307.28,0.39,0.36,2020-01-02,1719,N,VIIRS,n,2,276.15,1.31,N,0
37.4829,126.6386,297.31,0.39,0.36,2020-01-02,1719,N,VIIRS,n,2,269.13,0.73,N,0
37.48364,129.05797,317.27,0.39,0.36,2020-01-02,1719,N,VIIRS,n,2,276.6,1.61,N,0
37.48436,129.05362,302.35,0.39,0.36,2020-01-02,1719,N,VIIRS,n,2,275.43,1.82,N,0
37.59646,129.01233,314.49,0.39,0.36,2020-01-02,1719,N,VIIRS,n,2,277.61,2.18,N,2
37.42281,129.17439,300.56,0.39,0.36,2020-01-02,1719,N,VIIRS,n,2,275.47,0.8,N,0
35.2172,128.63464,297.73,0.39,0.36,2020-01-02,1720,N,VIIRS,n,2,271.8,0.75,N,0
35.15851,128.85759,298.72,0.4,0.37,2020-01-02,1720,N,VIIRS,n,2,270.95,0.57,N,0
35.09941,128.83144,301.87,0.4,0.37,2020-01-02,1720,N,VIIRS,n,2,270.97,0.43,N,0
35.09759,128.86255,299.34,0.4,0.37,2020-01-02,1720,N,VIIRS,n,2,274.21,1.2,N,0
35.08282,128.98991,318.88,0.4,0.37,2020-01-02,1720,N,VIIRS,n,2,276.09,1.62,N,0
36.01553,129.38409,328.54,0.5,0.41,2020-01-03,0440,N,VIIRS,n,2,286.17,4.92,D,3
37.48524,126.64083,327.21,0.41,0.37,2020-01-03,0440,N,VIIRS,n,2,284.75,2.19,D,0
35.08331,128.98819,326.14,0.47,0.4,2020-01-03,0440,N,VIIRS,n,2,286,1.48,D,0
35.08279,128.99063,331.89,0.47,0.4,2020-01-03,0440,N,VIIRS,n,2,287.28,3.61,D,0
36.98302,126.71181,332.81,0.41,0.37,2020-01-03,0440,N,VIIRS,n,2,288.8,4.46,D,2
37.59537,129.01578,312.66,0.45,0.39,2020-01-03,1700,N,VIIRS,n,2,277,2.48,N,2
37.48624,129.05563,321.71,0.45,0.39,2020-01-03,1700,N,VIIRS,n,2,279,3.17,N,2
37.48328,129.04993,302.05,0.45,0.39,2020-01-03,1700,N,VIIRS,n,2,275.77,1.13,N,0
37.42705,129.17903,305.86,0.45,0.39,2020-01-03,1700,N,VIIRS,n,2,278.09,1.36,N,2
37.42411,129.17339,301.5,0.45,0.39,2020-01-03,1700,N,VIIRS,n,2,276.12,0.89,N,0
36.01971,129.38318,309.27,0.43,0.38,2020-01-03,1701,N,VIIRS,n,2,276.95,6.17,N,3
36.01908,129.38795,299.7,0.43,0.38,2020-01-03,1701,N,VIIRS,n,2,278.57,0.93,N,3
36.01623,129.38249,342.35,0.43,0.38,2020-01-03,1701,N,VIIRS,n,2,281.11,6.17,N,3
36.00989,129.37636,297.72,0.43,0.38,2020-01-03,1701,N,VIIRS,n,2,274.36,1.29,N,2
36.00864,129.38585,298.47,0.43,0.38,2020-01-03,1701,N,VIIRS,n,2,277.3,0.8,N,2
36.00393,129.39461,298.44,0.43,0.38,2020-01-03,1701,N,VIIRS,n,2,279.29,0.68,N,2
36.00045,129.39394,296.64,0.43,0.38,2020-01-03,1701,N,VIIRS,n,2,276,0.68,N,2
35.99983,129.39865,297.42,0.43,0.38,2020-01-03,1701,N,VIIRS,n,2,277.45,0.68,N,2
35.97805,129.36798,311.92,0.43,0.38,2020-01-03,1701,N,VIIRS,n,2,273.46,1.95,N,0
35.08324,128.98882,324.83,0.43,0.38,2020-01-03,1701,N,VIIRS,n,2,276.3,1.78,N,0
35.09984,128.8602,315.97,0.44,0.38,2020-01-03,1701,N,VIIRS,n,2,273.81,1.69,N,0
35.10002,128.83073,297.1,0.44,0.38,2020-01-03,1701,N,VIIRS,n,2,269.59,0.51,N,0
35.10096,128.82927,298.03,0.44,0.38,2020-01-03,1701,N,VIIRS,n,2,271.01,0.57,N,2
36.98061,126.68945,296.68,0.56,0.43,2020-01-03,1701,N,VIIRS,n,2,274.62,1.4,N,2
36.98458,126.69012,310.08,0.56,0.43,2020-01-03,1701,N,VIIRS,n,2,279.62,2.78,N,2
36.98722,126.70349,296.23,0.56,0.43,2020-01-03,1701,N,VIIRS,n,2,275.91,2.35,N,2
36.98852,126.72955,315.91,0.56,0.43,2020-01-03,1701,N,VIIRS,n,2,273,3.57,N,3
36.99186,126.69778,305.09,0.56,0.43,2020-01-03,1701,N,VIIRS,n,2,273.63,1.89,N,0
37.01101,128.33603,300.24,0.48,0.4,2020-01-03,1701,N,VIIRS,n,2,270.32,1.13,N,0
37.08472,128.28473,302.14,0.48,0.4,2020-01-03,1701,N,VIIRS,n,2,270.35,1.34,N,2
36.02542,129.39409,305.8,0.43,0.38,2020-01-03,1701,N,VIIRS,n,2,280.85,1.96,N,3
36.0289,129.39478,295.88,0.43,0.38,2020-01-03,1701,N,VIIRS,n,2,276.03,1.14,N,3
35.08226,128.98845,328.73,0.39,0.36,2020-01-04,0421,N,VIIRS,n,2,285.19,2.41,D,2
36.01596,129.38152,334.22,0.38,0.36,2020-01-04,0421,N,VIIRS,n,2,290.12,8.57,D,3
36.98245,126.71184,333.5,0.41,0.37,2020-01-04,0421,N,VIIRS,n,2,290.41,7.45,D,2
37.48546,129.05411,325.29,0.38,0.36,2020-01-04,0421,N,VIIRS,n,2,287.53,3.23,D,0
37.97651,127.75107,320.79,0.6,0.53,2020-01-04,1641,N,VIIRS,n,2,270.61,4.37,N,0
37.83099,126.8675,297.18,0.33,0.56,2020-01-04,1641,N,VIIRS,n,2,265.52,0.63,N,0
37.59516,129.01149,313.63,0.51,0.49,2020-01-04,1641,N,VIIRS,n,2,276.13,2.61,N,2
36.01755,129.38654,295.38,0.47,0.47,2020-01-04,1642,N,VIIRS,n,2,277.64,2.23,N,3
37.48525,129.05476,323.9,0.5,0.49,2020-01-04,1642,N,VIIRS,n,2,277.15,3.59,N,0
37.42455,129.17401,297.18,0.5,0.49,2020-01-04,1642,N,VIIRS,n,2,274.66,1.05,N,2
37.01141,128.33563,299.94,0.55,0.51,2020-01-04,1642,N,VIIRS,n,2,270.42,1.81,N,0
36.98878,126.72753,321.24,0.33,0.56,2020-01-04,1642,N,VIIRS,n,2,274.57,1.8,N,3
36.9846,126.71165,322.77,0.34,0.56,2020-01-04,1642,N,VIIRS,n,2,277.38,1.42,N,2
36.98611,126.68842,312.1,0.34,0.56,2020-01-04,1642,N,VIIRS,n,2,280.62,1.05,N,2
36.98586,126.69228,298.64,0.34,0.56,2020-01-04,1642,N,VIIRS,n,2,278.49,1.05,N,2
36.98536,126.7,295.29,0.34,0.56,2020-01-04,1642,N,VIIRS,n,2,277.31,1.61,N,2
36.98092,126.68785,303.65,0.34,0.56,2020-01-04,1642,N,VIIRS,n,2,279.11,0.92,N,2
36.98067,126.69176,300.29,0.34,0.56,2020-01-04,1642,N,VIIRS,n,2,274.72,0.92,N,2
36.86219,126.57698,316.83,0.34,0.56,2020-01-04,1642,N,VIIRS,n,2,269.73,1.86,N,2
36.86177,126.57627,297.05,0.34,0.56,2020-01-04,1642,N,VIIRS,n,2,269.07,0.97,N,2
36.8615,126.58011,312.24,0.34,0.56,2020-01-04,1642,N,VIIRS,n,2,269.84,0.97,N,2
36.03028,129.39368,297.56,0.47,0.47,2020-01-04,1642,N,VIIRS,n,2,277.67,0.91,N,3
36.02588,129.39304,298.83,0.47,0.47,2020-01-04,1642,N,VIIRS,n,2,280.06,0.91,N,3
36.00874,129.38531,297.92,0.47,0.47,2020-01-04,1642,N,VIIRS,n,2,278.62,2.23,N,2
36.00387,129.38995,295.71,0.47,0.47,2020-01-04,1642,N,VIIRS,n,2,277.49,1.62,N,2
